"boot1","pa","lon","lat","layer.1","layer.2","layer.3","layer.4","layer.5","layer.6"
0,1,-48.87,-27.63,-8.78773112752763,3.4809439589368,3.4306769500215,-7.11649768681844,-0.840985786361387,-4.93857091875046
0,1,-48.693,-27.718,-8.94716626761534,3.59258023084592,3.41401544649545,-6.84318218762054,-0.686364692353847,-4.43951497716885
1,1,-48.78,-27.99,-8.83980054675336,3.59613036168847,3.37508206147192,-6.61969550320282,-0.79618526668249,-4.60756323191277
0,1,-48.96,-27.994,-8.48613750705928,2.95158621966333,3.27553591612697,-6.97319978718798,-0.835525826081865,-4.95044070651894
0,1,-48.959,-28.263,-8.85143079587348,4.09534825541293,3.58356116403349,-6.60147520870757,-0.905338449419282,-4.95108290314417
1,1,-49.232,-28.353,-8.77492701040635,5.14405561012122,3.69238409590765,-7.43518718176207,-1.16582703724341,-5.83619687958226
0,1,-49.497,-28.529,-8.52482406089907,4.99991429152774,3.67818344773133,-7.35240028282963,-1.1673472506477,-5.99039668701414
0,1,-49.59,-28.62,-8.30025240067886,3.72062436070908,3.47854617988758,-7.10890396754954,-1.11254533227441,-5.82870829043543
1,1,-49.86,-28.8,-8.30863585019397,3.01954114145733,3.48229653855899,-6.84093952501579,-1.1042261364935,-5.85149135404368
1,1,-49.983,-29.365,-8.77067187228074,3.60043370266151,3.76501732414112,-5.54189801656231,-0.772921002301445,-5.0727471683307
0,1,-42.004,-21.978,-8.92612170133554,6.93992025053637,1.90252699551789,-8.20738124452475,-1.38356733665183,-5.72934415191402
0,1,-43.893,-22.001,-8.54275375817146,5.78034925522506,1.40884642133239,-9.20902320884908,-1.41634707740453,-5.2783477383606
0,1,-42.531,-22.305,-8.06653967180687,4.49817024573021,1.31174354242091,-8.56482016642424,-1.17477837753114,-5.01408939426746
1,1,-43.413,-22.551,-9.79660059538706,5.47192233393528,2.28943438674296,-8.44328414156625,-1.49184562294856,-5.17737907588684
1,1,-43.301,-22.952,-9.81258837716106,5.99086337776531,2.54733757389299,-6.71148893939784,-1.58857600643901,-5.09394760472609
0,1,-46.479,-23.396,-8.19346337910034,4.93030135290068,1.63106232022255,-8.23369650768099,-1.39341267060883,-5.03941652031237
1,1,-46.768,-23.468,-8.02318176221318,4.71532237367917,1.5891604665881,-8.31477133683599,-1.37933884825959,-5.1856900972627
0,1,-46.729,-23.566,-8.43676521189839,4.8118985413054,1.78018434068588,-8.07985932459727,-1.41479853871727,-5.10368683065132
0,1,-45.753,-23.624,-8.83641904491978,2.60060005778967,2.27941106812998,-8.71447863309144,-1.14665013501127,-4.95461248028072
